name,founded_date,location,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,linkedin_url,facebook_url,legalio_url,all_tags,status,
LawTrades,2013,"New York, New York, United States",Marketplace,Individuals,Legal Service Using Tech,"LawTrades is an online message-based platform that allows anyone to seamlessly find, hire, and work with lawyers.",n/a,https://twitter.com/lawtrades?lang=en,https://angel.co/company/lawtrades,n/a,http://www.linkedin.com/company/lawtrades-com,http://www.facebook.com/lawtrades,n/a,"Information Technology, Intellectual Property, Legal, Legal Tech, Marketplace, Software, Web Apps",active,
Legal.io,2014,"San Francisco, California, United States",Marketplace,n/a,n/a,"Legal.io is used by organizations and professionals to deliver legal services seamlessly, from Intake to Outcome.",n/a,https://twitter.com/Legal_io,https://angel.co/company/legalio,n/a,https://www.linkedin.com/company/legal-io,https://www.facebook.com/legalio/,n/a,"Legal, Legal Tech",active,
Basement Crowd,2014,"London, England, England",Marketplace,n/a,n/a,Basement Crowd brings the latest tech to the legal sector with a world-class team of engineers and legal experts.,https://www.basementcrowd.com/,https://twitter.com/basementcrowd?lang=en,https://angel.co/company/basementcrowd,https://www.crunchbase.com/organization/basementcrowd,https://www.linkedin.com/company/basementcrowd/,https://www.facebook.com/BasementCrowd/,n/a,"Consulting, CRM, Information Technology, Legal, Legal Tech, Software",active,
Legal Equalizer,2015,"Atlanta, Georgia, United States",Marketplace,n/a,n/a,Legal Equalizer is an app that records your encounters with Police and provides information on your legal rights.,n/a,n/a,https://angel.co/company/legal-equalizer-1/jobs,n/a,https://www.linkedin.com/company/legalequalizer%C2%AE/about/,https://www.facebook.com/LegalEqualizer,n/a,"Consulting, Legal, Legal Tech, Mobile Apps, Non Profit",active,
Gallo & Iacovangelo,1933,"Rochester, New York, United States",Marketplace,n/a,n/a,Gallo & Iacovangelo is a full-service law firm uniquely qualified to represent you in a variety of practice areas.,http://www.gallolaw.com,n/a,n/a,https://www.crunchbase.com/organization/gallo-iacovangelo,https://www.linkedin.com/company/gallo-&-iacovangelo-llp/,https://www.facebook.com/Gallo-Iacovangelo-LLP-125950784104006/,n/a,"Law Enforcement, Legal, Legal Tech",active,
QDiscovery,2011,"New London, Connecticut, United States",Marketplace,n/a,n/a,QDiscovery is a provider of electronic discovery and forensic technology services across the entire EDRM spectrum.,n/a,https://twitter.com/qdiscovery?lang=en,n/a,n/a,https://www.linkedin.com/company/quantum-discovery-llc,https://www.facebook.com/qdiscovery,n/a,"Consulting, Document Management, Ediscovery, Information Technology, Legal, Legal Tech, Service Industry, Software",acquired,
CloudLaw,2012,"Traverse City, Michigan, United States",Marketplace,n/a,n/a,CloudLaw is an online legal marketplace where consumers can find a lawyer and lawyers can connect with each other.,http://zeekbeek.com,https://twitter.com/DarkFiberCon,n/a,https://www.crunchbase.com/organization/cloudlaw--zeekbeek-,https://www.linkedin.com/company/zeekbeek,https://www.facebook.com/cloudlawyerscom/,n/a,"Consumer, Legal, Legal Tech, Marketplace",inactive,
Crefovi,2012,"Paris, Ile-de-France, France",Marketplace,n/a,n/a,"Crefovi, a London & Paris law firm specialised in advising the creative industries wherever they are in the world.",https://crefovi.com/,https://twitter.com/crefovi?lang=en,n/a,https://www.crunchbase.com/organization/crefovi,https://www.linkedin.com/company/crefovi,https://www.facebook.com/crefovi,n/a,"Consulting, Digital Entertainment, Fashion, Law Enforcement, Legal, Legal Tech, Music, Product Design",active,
CloudLaw (ZeekBeek),2012,"Traverse City, Michigan, United States",Marketplace,n/a,n/a,CloudLaw is an online legal marketplace where consumers can find a lawyer and lawyers can connect with each other.,https://www.zeekbeek.com/,https://twitter.com/DarkFiberCon,n/a,https://www.crunchbase.com/organization/cloudlaw--zeekbeek-,https://www.linkedin.com/company/zeekbeek,https://www.facebook.com/cloudlawyerscom/,n/a,"Consumer, Legal, Legal Tech, Marketplace",inactive,
Lex Quantus Analytics,2013,"Gauteng, NA - South Africa, South Africa",Marketplace,n/a,n/a,"Lex Quantus Analytics provides Core Data Science solutions to the fields of Business, Law, and Big Data Analytics.",https://www.lexquantusanalytics.com/,https://twitter.com/LQ_Analytics,https://angel.co/company/lexmarkets/jobs,https://www.crunchbase.com/organization/lex-quantus-analytics,https://ca.linkedin.com/pub/mkhuseli-mthukwane/41/a90/4?trk=seokp_posts_primary_cluster_res_author_name,https://www.facebook.com/Lex-Quantus-Analytics-1570145646581314/,n/a,"Consulting, Information Technology, Legal, Legal Tech, Software",inactive,
Lawyered,2015,"Gurgaon, Haryana, India",Marketplace,n/a,n/a,Lawyered is a legal tech initiative designed to change the way people interact with and within the legal industry.,https://www.lawyered.in/,https://twitter.com/lawyeredtweets?lang=en,https://angel.co/company/lawyered-1,https://www.crunchbase.com/organization/lawyered-2,https://www.linkedin.com/company/lawyered,https://www.facebook.com/lawyered.in,n/a,"Legal, Legal Tech",active,
Steinfeld and Steinfeld,1996,"Atlanta, Georgia, United States",Marketplace,n/a,n/a,Steinfeld & Steinfeld is provides exceptional legal representation and client service in family law and bankruptcy.,https://steinfeldlaw.com,n/a,n/a,https://www.crunchbase.com/organization/steinfeld-and-steinfeld,n/a,https://www.facebook.com/steinfeldandsteinfeldpc/,n/a,"Law Enforcement, Legal, Legal Tech",active,
Benoam,1999,"Tel Aviv, Tel Aviv, Israel",Marketplace,n/a,n/a,"Benoam specializes in technological, computerized solutions for the management of legal proceedings and legal data.",https://benoam-tech.com/,https://twitter.com/gcaw/status/679680653496029184,n/a,https://www.crunchbase.com/organization/benoam-technologies-cim,n/a,https://www.facebook.com/public/Ben-Oam,n/a,"Angel Investment, Asset Management, Legal, Legal Tech",active,
Cortical.io,2011,"Vienna, Wien, Austria",Marketplace,n/a,n/a,Cortical.io’s offers AI-based natural language understanding solutions built on technology inspired by Neuroscience,https://www.cortical.io/,https://twitter.com/cortical_io,https://angel.co/company/cortical-io,https://www.crunchbase.com/organization/cept-systems,http://www.linkedin.com/company/cortical-io,http://www.facebook.com/cortical.io,n/a,"Artificial Intelligence, Big Data, Enterprise Software, Information Technology, Legal Tech, Machine Learning, Natural Language Processing, Semantic Search, Software",active,
Law&Company Inc.,2012,"Seoul, Seoul-t'ukpyolsi, South Korea",Marketplace,n/a,n/a,Law&Company provide LawTalk service to solve information asymmetry and illegal legal broker of Korean legal market.,https://www.lawtalk.co.kr,n/a,n/a,https://www.crunchbase.com/organization/law-company,n/a,https://www.facebook.com/lawtalk.co.kr/,n/a,"Information Services, Law Enforcement, Legal, Legal Tech",active,
CrowdLaw,2014,"Berkeley, CA, USA",Marketplace,n/a,n/a,CrowdLaw is used by advocates and clients to get the funds they need through easy-to-launch crowdfunding campaigns.,n/a,https://twitter.com/crowdlaw_?lang=en,n/a,n/a,n/a,n/a,n/a,n/a,active,
RTIwala,2017,"Bhopal, Madhya Pradesh, India",Marketplace,n/a,n/a,"RTIwala is a citizen-centric startup, empowering the masses through sensible content and affordable legal services.",https://rtiwala.com/,https://twitter.com/RTIwala?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://angel.co/company/rtiwala/jobs,https://www.crunchbase.com/organization/rtiwala,https://www.linkedin.com/company/rtiwala,https://www.facebook.com/RTIwalaOfficial,n/a,"Consulting, Content Creators, Legal, Legal Tech, Media and Entertainment, News",active,
Draftr,2018,n/a,Marketplace,n/a,n/a,Draftr is a SaaS platform for lawyers that enables collaboration and sharing of practice materials and information.,http://draftr.app/cgi-sys/defaultwebpage.cgi,https://twitter.com/draftrmedia?lang=en,n/a,https://www.crunchbase.com/organization/lawmentum,https://www.linkedin.com/company/draftrapp/,https://www.facebook.com/Draftr-311194763003057/,n/a,"Communities, Crowdsourcing, Legal Tech, SaaS, Software",active,
LEGAL WIN CONSULTING LLP,2019,"Hyderabad, Andhra Pradesh, India",Marketplace,n/a,n/a,"We offer a full range of Legal and Tax advisory to  Start-Up's, and High Net Worth Individuals and Private Clients.",http://legalwin.in,n/a,n/a,https://www.crunchbase.com/organization/legal-win-consulting-llp,https://www.linkedin.com/in/legal-win-consulting-llp-64337a110/,https://www.facebook.com/LEGALWIN.IN,n/a,"Consulting, Legal, Legal Tech",active,
FIRM24.com,2013,"Amsterdam, Noord-Holland, The Netherlands",Marketplace,n/a,n/a,FIRM24 is a one-stop-shop for digital SMEs that provides a total solution for administrative and legal requirements.,https://www.firm24.com/,https://twitter.com/firm24com?lang=en,n/a,https://www.crunchbase.com/organization/firm24,https://www.linkedin.com/company/firm24/,https://www.facebook.com/firm24com,n/a,"Accounting, Business Development, Internet, Legal, Legal Tech, Small and Medium Businesses",active,
IntelliCRM,2015,"555 North Point Center East, Suite 400 Alpharetta, GA 30022",Marketplace,n/a,n/a,"IntelliCRM is developed by the salespeople for the salespeople, incorporating the best of technological innovations.",https://www.intellicrm.com,https://twitter.com/intelliCRM,n/a,https://www.crunchbase.com/organization/intellicrm,https://www.linkedin.com/company/intellicrm/,https://www.facebook.com/Intellicrm-108726323856655,n/a,crm software,active,
Legalist Online On Hukuk Hizmetleri A.S.,2016,"San Francisco, California, United States",Marketplace,n/a,n/a,Legalist provides legal data analytics services designed to help small business to get access to the justice system.,https://www.legalist.com/,https://twitter.com/LloydLegalist,https://angel.co/company/legalist,https://www.crunchbase.com/organization/legalist,https://www.linkedin.com/company/legalist/,https://www.facebook.com/LegalistInc/,n/a,"Consulting, Legal, Legal Tech, Software",active,
Immicompliance.com,2016,"La Palma, California, United States",Marketplace,n/a,n/a,Immicompliance is a cloud-based streamlined practice and case management system for immigration and other law firms.,n/a,https://twitter.com/immicompliance?lang=en,https://angel.co/company/immicompliance-com,n/a,https://www.linkedin.com/company/immicompliance/,https://www.facebook.com/immicompliance,n/a,"Cloud Data Services, Consulting, Document Management, Information Technology, Legal, Legal Tech, SaaS, Software",active,
Hotspot Law,2017,"New York, New York, United States",Marketplace,n/a,n/a,"Hotspot Law allows consumers to book a free phone consultation with highly-rated attorneys in their area, instantly.",n/a,https://twitter.com/hotspotlaw?lang=en,n/a,n/a,https://www.linkedin.com/company/hotspotlaw/,https://www.facebook.com/hotspotlaw/,n/a,"Information Technology, Internet, Legal, Legal Tech, Software",active,
eEvidence,2012,"Barcelona, Catalonia, Spain",Marketplace,n/a,n/a,"eEvidence offers a free service to legally certify an email, its content, and its eventual delivery to third parties.",https://www.eevidence.com/en/,https://twitter.com/eevidence,https://angel.co/company/eevidence-1/jobs,https://www.crunchbase.com/organization/eevidence,https://www.linkedin.com/company/eevidence/,n/a,n/a,"Email, Legal, Legal Tech",active,
Legal Hero,2014,"New York, NY, USA",Marketplace,n/a,n/a,"Pre-vetted lawyers, enabled by efficiency-driving technology, all at fixed prices posted online for the world to see.",https://legalhero.com,https://twitter.com/legalheroinc?lang=en,https://angel.co/company/legal-hero/funding,https://www.crunchbase.com/organization/legal-hero,http://www.linkedin.com/company/3477895,http://www.facebook.com/pages/Legal-Hero/238397639643613,n/a,n/a,active,
Custom Counsel,2015,"Portland, ME, USA",Marketplace,n/a,Legal Service Using Tech,"Custom Counsel Serving Overworked Lawyers Everywhere  On-Demand Freelance Attorneys, Paralegals, and Legal Assistants",https://www.customcounsel.com,n/a,n/a,https://www.crunchbase.com/organization/custom-counsel,n/a,n/a,n/a,n/a,inactive,
AI Lawracle,2017,"Sydney, New South Wales, Australia",Marketplace,n/a,n/a,AI Lawracle offers an application which automates legal services using artificial intelligence and unique algorithms.,https://www.ailawracle.com,n/a,n/a,https://www.crunchbase.com/organization/ai-lawracle,n/a,n/a,n/a,"Apps, Artificial Intelligence, Legal, Legal Tech",inactive,
TRAIAL Sàrl,2018,"Vevey, Vaud, Switzerland",Marketplace,n/a,n/a,TRAIAL is a legal marketplace aimed at enabling anyone to have access to legal services at an affordable fixed price.,https://www.traial.ch,n/a,n/a,https://www.crunchbase.com/organization/traial-8c54,https://www.linkedin.com/company/28625096/admin/,https://www.facebook.com/traial.ch/,n/a,"E-Commerce, Legal Tech",active,
LegalZoom.com,2011,"Glendale, California, United States",Marketplace,n/a,n/a,LegalZoom is a technology platform giving access to professional legal advice so people can protect what matters most.,n/a,https://twitter.com/LegalZoom,https://angel.co/company/legalzoom-com/funding,n/a,http://www.linkedin.com/company/legalzoom,http://www.facebook.com/LegalZoom,n/a,"Consulting, Legal, Legal Tech, Professional Services",active,
CrowdJustice,2013,"Brooklyn, New York, United States",Marketplace,n/a,n/a,CrowdJustice is a crowdfunding platform that allows communities to access the courts to protect their communal assets.,https://www.crowdjustice.com/,https://twitter.com/crowdjustice?lang=en,https://angel.co/company/legl-crowdjustice/jobs,https://www.crunchbase.com/organization/crowdjustice,https://www.linkedin.com/company/crowdjustice,https://www.facebook.com/crowdjusticeEngland/,n/a,"Crowdfunding, Legal, Legal Tech",active,
Crowd & Co.,2014,"Melbourne, Victoria, Australia",Marketplace,n/a,n/a,"Crowd & Co helps professional services operators connect, engage, collaborate, and do business in the digital economy.",https://crowdandco.com,https://twitter.com/crowdandco,n/a,https://www.crunchbase.com/organization/crowd-co,https://www.linkedin.com/company/3884967,n/a,n/a,"Communities, Information Services, Information Technology, Internet, Legal, Legal Tech, Software",active,
Shop Immigration,2016,"Santa Monica, California, United States",Marketplace,n/a,n/a,"Shop Immigration connects immigrants with immigration attorneys, and provides professional immigration legal services.",n/a,n/a,https://angel.co/company/shop-immigration-1,n/a,https://www.linkedin.com/company/shop-immigration-inc./about/,https://facebook.com/evisaimmigration/shop_nt/?ref=page_internal&mt_nav=0,n/a,"Document Preparation, Legal, Legal Tech",acquired,
The Legal Capsule,2018,"Goa, Goa, India",Marketplace,n/a,n/a,The Legal Capsule is a contract lifecycle management (CLM) platform for companies to manage all their legal contracts.,https://thelegalcapsule.com/,https://twitter.com/thelegalcapsule,n/a,https://www.crunchbase.com/organization/the-legal-capsule,https://www.linkedin.com/company/thelegalcapsule,https://www.facebook.com/thelegalcapsule/,n/a,"Contact Management, Intellectual Property, Legal Tech",active,
Lexstart,2012,"Mexico City, Distrito Federal, Mexico",Marketplace,n/a,n/a,Lexstart helps and enables Mexican startups to reach high-quality legal services and counsel without charging any fees.,https://www.lexstart.com/,https://twitter.com/Lexstart_India,https://angel.co/company/lexstart,https://www.crunchbase.com/organization/lexstart,https://www.linkedin.com/company/lexstart,https://www.twitter.com/lex_start,n/a,"Legal, Legal Tech, Professional Services",active,
Lig Technologies Ltd,2013,"Jerusalem, Yerushalayim, Israel",Marketplace,n/a,n/a,"Lig revolutionizes the legal field enabling an individual, without any prior legal knowledge, to submit a legal action.",https://lig-it.com,https://twitter.com/TFFSuperLig,https://angel.co/company/lig-technologies,https://www.crunchbase.com/organization/lig,https://www.linkedin.com/company/lig-technologies-ltd,https://www.facebook.com/LigMLS,n/a,"Information Services, Law Enforcement, Legal, Legal Tech, Online Portals",inactive,
AppearMe,2016,"Glendale, California, United States",Marketplace,n/a,n/a,AppearMe is a real-time and on-demand web and mobile app that connects thousands of legal professionals within minutes.,n/a,https://twitter.com/AppearMeApp,https://angel.co/company/appearme,n/a,https://www.linkedin.com/company/appearme,https://www.facebook.com/appearme,n/a,"Apps, Legal, Legal Tech, Software",active,
Ajudici,2016,"Brasília, Rio Grande do Norte, Brazil",Marketplace,n/a,n/a,"Ajudici is a Brazilian legal SQL database, allowing companies to access the information they need in the simplest form.",https://ajudici.com.br,n/a,n/a,https://www.crunchbase.com/organization/ajudici,https://www.linkedin.com/company/ajudici,https://www.linkedin.com/company/ajudici,n/a,"Database, Legal, Legal Tech",active,
SurePoint Technologies,1976,"Cincinnati, Ohio, United States",Marketplace,n/a,n/a,"For more than 40 years, law firms have relied on SurePoint's Legal Management System (LMS) to unlock higher performance.",surepointtech.com,https://twitter.com/SurePointTech,n/a,https://www.crunchbase.com/organization/rippe-kingston,https://www.linkedin.com/company/56733,https://www.facebook.com/SurePointTech/,n/a,"Legal Tech, Software",inactive,
Mattereum,2017,London,Marketplace,n/a,n/a,The legal-technical interface connecting digital assets on the blockchain with goods and services in the material world.,https://www.mattereum.com/,https://twitter.com/mattereum,n/a,https://www.crunchbase.com/organization/mattereum,https://www.linkedin.com/company/mattereum,https://www.facebook.com/mattereum,n/a,smartcontracts,active,
Africa Legal News,2017,"Harare, NA - Zimbabwe, Zimbabwe",Marketplace,n/a,n/a,"Africa Legal News is an online media startup and newsroom that reports on legal updates, analysis and news around Africa",https://africalegalnews.com,n/a,n/a,https://www.crunchbase.com/organization/africa-legal-news,https://www.linkedin.com/company/africa-legal-news/,https://www.facebook.com/africalegalnews/,n/a,"Blogging Platforms, Broadcasting, Internet Radio, Legal, Legal Tech, News, Video on Demand",active,
DoNotPay,2015,"Midvale, Utah, United States",Marketplace,n/a,n/a,"DoNotPay is an online robot lawyer that allows anyone to automatically claim asylum in the U.S, U.K, and Canada for free.",n/a,https://twitter.com/donotpaylaw?lang=en,https://angel.co/company/donotpay-1,n/a,https://www.linkedin.com/company/donotpay/,https://www.facebook.com/Donotpay/,n/a,"Consulting, Internet, Legal, Legal Tech",active,
MAIS JUSTIÇA,2016,"Goiânia, Goias, Brazil",Marketplace,n/a,n/a,"MAIS JUSTIÇA is a platform designed to assist ADVOCATES, LAWYERS and law firms in PROSPECTING and conquering NEW CLIENTS.",http://www.maisjustica.com.br,n/a,n/a,https://www.crunchbase.com/organization/mais-justiça,n/a,n/a,n/a,"B2B, Legal, Legal Tech, Software",inactive,
Legal Automation,2017,"Tel Aviv, Tel Aviv, Israel",Marketplace,n/a,n/a,Legal Automation is a software company that focuses on providing products intended for Underwriting and Claim Adjustment.,https://www.paralegal.io,n/a,n/a,https://www.crunchbase.com/organization/legal-automation,https://www.linkedin.com/company/legal-automation/,https://www.facebook.com/paralegalapp/,n/a,"Artificial Intelligence, Insurance, Legal Tech, Software",active,
Reviewsolicitors,2019,n/a,Marketplace,n/a,n/a,ReviewSolicitors is an online review platform that allows users to post feedback on the services received from law firms.,https://www.reviewsolicitors.co.uk/,https://twitter.com/reviewsolicitor,n/a,https://www.crunchbase.com/organization/reviewsolicitors,https://www.linkedin.com/company/reviewsolicitors,https://www.facebook.com/pg/reviewsolicitors/,n/a,"Law Enforcement, Legal, Legal Tech",active,
Dimension Informatique Realisations,1992,"Saint-andré-le-gaz, Rhone-Alpes, France",Marketplace,n/a,n/a,"Dimension Informatique Realisations specializes in legal software for accessible, qualified and protected management data.",https://www.dir-aj.fr,n/a,n/a,https://www.crunchbase.com/organization/dimension-informatique-realisations,https://www.linkedin.com/company/dimension-informatique-realisations,n/a,n/a,"Legal Tech, Software",active,
Hukumonline.com,2000,"Jakarta, Jakarta Raya, Indonesia",Marketplace,n/a,n/a,"Hukumonline.com is a reg-tech company that provides the most complete, integrated and trusted legal products and services.",https://www.hukumonline.com/,https://twitter.com/hukumonline?lang=en,n/a,https://www.crunchbase.com/organization/hukumonline-com,https://www.linkedin.com/company/hukumonline.com/,https://www.facebook.com/hukumonlinecom/,n/a,"Information Services, Legal, Legal Tech, Software",active,
LegalTap - On Demand Legal,2015,"San Diego, California, United States",Marketplace,n/a,n/a,LegalTap connects the public with access to affordable self help legal services that would otherwise be difficult to find.,n/a,https://twitter.com/legaltap?lang=en,n/a,n/a,https://www.linkedin.com/company/6431096,https://www.facebook.com/pages/LegalTap/871603896212403,n/a,"Apps, Information Services, Legal, Legal Tech",inactive,
SKUANI Ltd.,2015,"Zürich, Zurich, Switzerland",Marketplace,n/a,n/a,SKUANI is a is a consultancy marketplace that allows clients to efficiently get in touch with suitable consulting experts.,https://www.skuani.com,https://twitter.com/hashtag/skuani,n/a,https://www.crunchbase.com/organization/skuani,https://www.linkedin.com/company/skuani-ag/about/,https://www.facebook.com/skuani/,n/a,"Consulting, Legal, Legal Tech",inactive,
Bright Advise,2017,"Odessa, Odes'ka Oblast', Ukraine",Marketplace,n/a,n/a,"Bright Advise is an online legal hub that bringing together clients, lawyers, law firms, and legal tech service providers.",https://brightadvise.com/en,https://twitter.com/BrightAdvise,https://angel.co/company/bright-advise,https://www.crunchbase.com/organization/bright-advise,https://www.linkedin.com/company/bright-advise/about/,https://www.facebook.com/bright.advise,n/a,"Legal, Legal Tech, Professional Networking, Professional Services",active,
Mplace,2015,"Annapolis, Maryland, United States",Marketplace,n/a,n/a,Mplace develops a mobile platform that facilitates open and direct communication between clients and project professionals.,https://mplace.io/,https://twitter.com/MplaceLLC,n/a,https://www.crunchbase.com/organization/mplace,https://www.linkedin.com/company/mplace-llc/,https://www.facebook.com/MplaceLLC/,n/a,"Computer, Legal, Legal Tech, SaaS, Software",active,
HUGO.legal,2015,"Tallinn, Harjumaa, Estonia",Marketplace,n/a,n/a,HUGO.legal is the first sharing economy based legal platform using A.I to match people with the best lawyer for their case.,https://hugo.legal/,n/a,https://angel.co/company/hugo-legal,https://www.crunchbase.com/organization/hugo-legal,https://www.linkedin.com/company/hugolegalai,https://facebook.com/hugolegalai,n/a,"Artificial Intelligence, Legal, Legal Tech",active,
Sob Demanda,2015,"Uberlândia, Minas Gerais, Brazil",Marketplace,n/a,n/a,"Sob Demanda connects lawyers, law students and law graduates who have chosen to continue their studies and not practice law.",http://www.sobdemanda.adv.br,n/a,n/a,https://www.crunchbase.com/organization/sob-demanda,https://www.linkedin.com/company/sobdemanda/,https://www.facebook.com/sobdemanda/,n/a,"Content, Legal, Legal Tech, Online Forums, Social Network",inactive,
eMinutes,1998,"Los Angeles, California, United States",Marketplace,n/a,n/a,"EMinutes is a law firm that form loan outs, production companies, and other business entities for the entertainment industry.",https://eminutes.com/,https://twitter.com/eminutes?lang=en,n/a,https://www.crunchbase.com/organization/eminutes,https://www.linkedin.com/company/eminutes/,http://www.facebook.com/eminutes,n/a,"Business Development, Consulting, Legal, Legal Tech, Media and Entertainment",active,
Teen Legal Helpline,2011,"Toronto, Ontario, Canada",Marketplace,Individuals,Legal Service Using Tech,Teen Legal Helpline gives teens free access to high quality legal advice so they can make the best decisions for their lives.,https://teenlegalhelpline.org/,https://twitter.com/teenlegalhelp,https://angel.co/company/teen-legal-helpline,https://www.crunchbase.com/organization/teen-legal-helpline,https://www.linkedin.com/company/teen-legal-helpline/,https://www.facebook.com/teenlegalhelpline/,n/a,"Advice, Consulting, Legal, Legal Tech, Social Assistance",active,
Pravoved.ru,2011,"Saint Petersburg, Saint Petersburg City, Russia",Marketplace,n/a,n/a,Pravoved is a legal tech company that provides legal service for individuals and creates innovative technologies for business,https://pravoved.ru/,https://twitter.com/pravoved_ru?lang=en,n/a,https://www.crunchbase.com/organization/pravoved-ru,https://www.linkedin.com/company/pravoved-ru,https://www.facebook.com/pravoved.ru/,n/a,"Artificial Intelligence, Consulting, Legal, Legal Tech, Professional Services",inactive,
LawIQ,2015,"Washington, District of Columbia, United States",Marketplace,n/a,n/a,LawIQ provides regulatory and legal data analytics and intelligence services for blue chip energy and industrial corporations,n/a,https://twitter.com/lawiqenergy,https://angel.co/company/lawiq,n/a,https://www.linkedin.com/company/lawiq/,https://www.facebook.com/public/LawIQ,n/a,"Consulting, Energy, Legal, Legal Tech, Software",active,
About Innovation,2017,"Paris, Ile-de-France, France",Marketplace,n/a,n/a,About Innovation is an intelligent and collaborative solution that supports businesses in the life cycle of its IP portfolio.,https://www.aboutinnovation.com/,n/a,n/a,https://www.crunchbase.com/organization/about-innovation,https://www.linkedin.com/company/aboutinnovation/about/,n/a,n/a,"Business Development, Legal, Legal Tech",active,
Speedy Counsel,2014,"Baltimore, MD, USA",Marketplace,n/a,n/a,"SpeedyCounsel is the fastest and most affordable way for start-ups, entrepreneurs and individuals to consult with an attorney.",n/a,n/a,https://angel.co/company/speedy-counsel,n/a,n/a,n/a,n/a,n/a,inactive,
Legalcloud,2008,"Rio De Janeiro, Rio de Janeiro, Brazil",Marketplace,n/a,n/a,"Legalcloud streamlines the calculation and control of procedural deadlines, bringing peace of mind and productivity to lawyers.",https://app.legalcloud.com.br/,https://twitter.com/legalcloud,n/a,https://www.crunchbase.com/organization/legalcloud,https://www.linkedin.com/company/legalcloud/,https://www.facebook.com/legalcloud/,n/a,"Information Services, Legal, Legal Tech, Software",active,
Puritas Springs Software,1986,"Hinckley, Ohio, United States",Marketplace,n/a,n/a,Puritas Springs Software is a software company that specializes in the development of reasonably-priced legal and tax software .,n/a,n/a,n/a,n/a,n/a,https://www.facebook.com/puritasspringssoftware/,n/a,"Consumer Software, Legal Tech, Software",active,
Global Legal Data,1999,"Barcelona, Catalonia, Spain",Marketplace,n/a,n/a,Global Legal Data is a legal firm that specializes in the professional practice of information and communication technology law.,https://legal-data.net,https://twitter.com/globallegaldata?lang=en,n/a,https://www.crunchbase.com/organization/global-legal-data,https://www.linkedin.com/company/global-legal-data/,n/a,n/a,"Consulting, Legal, Legal Tech, Professional Services",active,
JUIT,2002,"São Paulo, Sao Paulo, Brazil",Marketplace,n/a,n/a,JUIT is a lawtech developing elegant technology so law practitioners do more in less time making data-driven decisions every day,https://juit.io,n/a,n/a,https://www.crunchbase.com/organization/juit,https://www.linkedin.com/company/juit/,https://www.facebook.com/juit.tech/,n/a,"Analytics, Big Data, Business Intelligence, Legal Tech, Software",active,
Planet Patent,2003,"Fredericksburg, Virginia, United States",Marketplace,n/a,n/a,Planet Patent is a professional patent search services company that specializes in aerospace medical & software patent searches.,https://www.planetpatent.com/,n/a,n/a,https://www.crunchbase.com/organization/planet-patent,https://www.linkedin.com/company/planet-patent/about/,https://www.facebook.com/pg/planetpatent/,n/a,"Consulting, Legal, Legal Tech",active,
Timeliss,2018,"Singapore, Central Region, Singapore",Marketplace,n/a,n/a,"Timeliss is a late-life technology innovations company that brings health, wealth and legacy planning matters onto one platform.",https://www.timeliss.com/,n/a,n/a,https://www.crunchbase.com/organization/timeliss,https://www.linkedin.com/company/timeliss/,https://www.facebook.com/TheTimeliss/,n/a,"Elder Care, Employee Benefits, Family, Information Technology, Legal Tech, Personal Finance, Wealth Management, Wellness",active,
Migration Agent and Immigration Lawyer Association,1946,n/a,Marketplace,n/a,n/a,Ask-An-Agent is the trusted online marketplace connecting consumers and businesses with migration agents and immigration lawyers.,https://www.ask-an-agent.com.au,n/a,n/a,https://www.crunchbase.com/organization/migration-agent-and-immigration-lawyer-association,https://www.linkedin.com/company/australian-migration-agent-and-immigration-lawyer-association,https://www.facebook.com/Ask-An-Agent/,n/a,"Legal, Legal Tech",active,
Pointer Brand Protection,2008,"Amsterdam, Noord-Holland, The Netherlands",Marketplace,n/a,n/a,"Online brand protection that is monitoring e-commerce websites, domains and social media for intellectual property infringements.",https://corsearch.com/our-products/online-brand-protection/,https://twitter.com/pointerbp?lang=en,n/a,https://www.crunchbase.com/organization/pointer-brand-protection,https://www.linkedin.com/company/pointer-brand-protection-&-research/,https://www.facebook.com/PointerBrandProtection/,n/a,"Domain Registrar, E-Commerce, Image Recognition, Information Technology, Intellectual Property, Legal, Legal Tech, Security, Social Media",active,
Bodhala,2013,"New York, New York, United States",Marketplace,n/a,n/a,"Bodhala is a SaaS platform that empowers in-house legal teams to better analyze, interpret and optimize outside counsel spending.",n/a,https://twitter.com/bodhala?lang=en,n/a,n/a,https://www.linkedin.com/company/bodhala/,https://www.facebook.com/pages/category/Information-Technology-Company/Bodhala-100435988277769/,n/a,"Information Services, Information Technology, Legal Tech, SaaS",active,
Edraftly,2016,"Cardiff, Cardiff, England",Marketplace,n/a,n/a,"Edrafly helps lawyers, chambers, firms and clients make informed decisions by promoting transparency within the legal profession.",n/a,https://twitter.com/edraftly,n/a,https://www.crunchbase.com/organization/edraftly,https://www.linkedin.com/company/edraftly/,n/a,n/a,"Consulting, Information Technology, Legal, Legal Tech, Software",active,
